societe;segment;secteur;email;telephone;adresse;facebook;lien_demo;expire_le;canal_conseille;fichier;objet;statut;date_envoi;reponse
Cobalt Tattoo;B;beaute;cobalt.booking@hotmail.com;;Rue Griange 22;https://www.facebook.com/vliers/;https://dev.ineart.be/cobalt-tattoo/;10/08/2026;mail;cobalt-tattoo.eml;Votre site internet est déjà en ligne, Cobalt Tattoo;a_envoyer;;
La Fine Bouche;B;horeca;lafinebouchehuy@gmail.com;;Place Saint-Séverin 8;https://www.facebook.com/people/La-Fine-Bouche-Officiel/100029105576543/;https://dev.ineart.be/la-fine-bouche/;10/08/2026;mail;la-fine-bouche.eml;Votre site internet est déjà en ligne, La Fine Bouche;a_envoyer;;
Le Bolus Phozap Laotian;B;horeca;;;Rue des Brasseurs 11;61559052449250;https://dev.ineart.be/le-bolus-phozap-laotian/;10/08/2026;telephone;le-bolus-phozap-laotian-appel.txt;Votre site internet est déjà en ligne, Le Bolus Phozap Laotian;a_envoyer;;
Le petit marché d'Adeline;B;horeca;;;Rue des Brasseurs 2;https://www.facebook.com/lepetitmarchedadeline;https://dev.ineart.be/le-petit-marche-d-adeline/;10/08/2026;telephone;le-petit-marche-d-adeline-appel.txt;Votre site internet est déjà en ligne, Le petit marché d'Adeline;a_envoyer;;
Librairie Diachron;D;commerce;diachron.librairie@gmail.com;;Rue des Augustins 4;https://www.facebook.com/profile.php?id=61552245698169&locale=fr_FR;https://dev.ineart.be/librairie-diachron/;10/08/2026;mail;librairie-diachron.eml;Votre site internet est déjà en ligne, Librairie Diachron;a_envoyer;;
Maroquinerie Marguerite & Opaline Shoes;D;commerce;isaleplat@hotmail.com;;;https://www.facebook.com/profile.php?id=100050779790304;https://dev.ineart.be/maroquinerie-marguerite-opaline-shoes/;10/08/2026;mail;maroquinerie-marguerite-opaline-shoes.eml;Votre site internet est déjà en ligne, Maroquinerie Marguerite & Opaline Shoes;a_envoyer;;
Muzette;B;commerce;;;;https://www.instagram.com/muzette_bistrot_a_livres;https://dev.ineart.be/muzette/;10/08/2026;telephone;muzette-appel.txt;Votre site internet est déjà en ligne, Muzette;a_envoyer;;
Omata - Crème glacée;B;horeca;;;Avenue des Ardennes 4, 4500;https://www.facebook.com/omatahuy;https://dev.ineart.be/omata-creme-glacee/;10/08/2026;telephone;omata-creme-glacee-appel.txt;Votre site internet est déjà en ligne, Omata - Crème glacée;a_envoyer;;
Ose&vous;B;commerce;priboupri@gmail.com;;Rue l'Apleit 9;https://www.facebook.com/people/Osevous/100063557171322/;https://dev.ineart.be/ose-vous/;10/08/2026;mail;ose-vous.eml;Votre site internet est déjà en ligne, Ose&vous;a_envoyer;;
Proxie Delhaize;B;commerce;;;Rue Delloye-Matthieu 9;https://www.facebook.com/Proxydelhaizehuy/;https://dev.ineart.be/proxie-delhaize/;10/08/2026;telephone;proxie-delhaize-appel.txt;Votre site internet est déjà en ligne, Proxie Delhaize;a_envoyer;;
